x (km),t (h),Density (veh/km),Speed (Km/h),Flow (veh/h)
465.15,7.866666666666666,26.153846153846153,52,1360
465.15,7.883333333333334,34.73945409,40.3,1400
465.15,7.9,33.488372093023266,21.5,720
465.15,7.916666666666667,48.78048780487804,12.3,600
465.15,7.933333333333334,37.90849673202615,15.3,580
465.15,7.95,16.438356164383563,7.3,120
465.15,7.966666666666667,40.74074074074074,10.8,440
465.15,7.983333333333333,26.484018264840184,43.8,1160
465.15,8,19.463087248322147,59.6,1160
465.15,8.016666666666667,23.16865417376491,58.7,1360
465.15,8.033333333333333,22.25913621262459,60.2,1340
465.15,8.05,23.87096774193548,62,1480
465.15,8.066666666666666,23.33333333333333,60,1400
465.15,8.083333333333334,25.36585365853659,61.5,1560
465.15,8.1,24.33697347893916,64.1,1560
465.15,8.116666666666667,21.683673469387756,78.4,1700
465.15,8.133333333333333,16.852540272614622,80.7,1360
465.15,8.15,18.294190358467244,80.9,1480
465.15,8.166666666666666,26.306913996627323,59.3,1560
465.15,8.183333333333334,33.253012048192765,41.5,1380
465.15,8.2,25.23364485981309,21.4,540
465.15,8.216666666666667,32.432432432432435,11.1,360
465.15,8.233333333333333,48.27586206896552,5.8,280
465.15,8.25,30.819672131147538,30.5,940
465.15,8.266666666666667,22.024866785079926,56.3,1240
465.15,8.283333333333333,21.991084695393763,67.3,1480
465.15,8.3,23.26951399116348,67.9,1580
465.15,8.316666666666666,20.845921450151057,66.2,1380
465.15,8.333333333333334,22.58064516129032,68.2,1540
465.15,8.35,21.696801112656466,71.9,1560
465.15,8.366666666666667,20.435967302452315,73.4,1500
465.15,8.383333333333333,17.245817245817243,77.7,1340
465.15,8.4,16.839677047289502,86.7,1460
465.15,8.416666666666666,20.48040455120101,79.1,1620
465.15,8.433333333333334,23.496503496503497,71.5,1680
465.15,8.45,29.484902309058608,56.3,1660
465.15,8.466666666666667,30.848329048843194,38.9,1200
465.15,8.483333333333333,29.33333333333333,22.5,660
465.15,8.5,45.23809523809523,8.4,380
465.15,8.516666666666667,27.69230769230769,13,360
465.15,8.533333333333333,23.798627002288328,43.7,1040
465.15,8.55,19.607843137254907,66.3,1300
465.15,8.566666666666666,19.43198804185351,66.9,1300
465.15,8.583333333333334,21.21212121212121,66,1400
465.15,8.6,22.773722627737225,68.5,1560
465.15,8.616666666666667,18.10918774966711,75.1,1360
465.15,8.633333333333333,18.823529411764707,85,1600
465.15,8.65,16.569428238039674,85.7,1420
465.15,8.666666666666666,19.451371571072322,80.2,1560
465.15,8.683333333333334,19.364161849710978,69.2,1340
465.15,8.7,25.684931506849324,58.4,1500
465.15,8.716666666666667,26.271186440677965,47.2,1240
465.15,8.733333333333333,24.899598393574294,49.8,1240
465.15,8.75,25.085910652920962,58.2,1460
465.15,8.766666666666667,29.33333333333333,60,1760
465.15,8.783333333333333,27.53036437246964,49.4,1360
465.15,8.8,27.98353909,48.6,1360
465.15,8.816666666666666,26.45290581162325,49.9,1320
465.15,8.833333333333334,25.18518518518519,54,1360
465.15,8.85,33.246753246753244,38.5,1280
465.15,8.866666666666667,43.452380952380956,33.6,1460
465.15,8.883333333333333,31.250000000000004,44.8,1400
465.15,8.9,23.17757009345795,53.5,1240
465.15,8.916666666666666,25.078369905956112,63.8,1600
465.15,8.933333333333334,27.74957698815567,59.1,1640
465.15,8.95,32.99389002,49.1,1620
465.15,8.966666666666667,28.87931034482759,46.4,1340
465.15,8.983333333333333,27.642276422764226,49.2,1360
465.15,9,27.079303675048354,51.7,1400
465.15,9.016666666666667,34.920634920634924,44.1,1540
465.15,9.033333333333333,40.469208211143695,34.1,1380
465.15,9.05,28.959276018099548,44.2,1280
465.15,9.066666666666666,34.946236559139784,37.2,1300
465.15,9.083333333333334,33.94495412844036,43.6,1480
465.15,9.1,28.252788104089216,53.8,1520
465.15,9.116666666666667,25.659050966608085,56.9,1460
465.15,9.133333333333333,33.535353535353536,49.5,1660
465.15,9.15,41.206030150753776,39.8,1640
465.15,9.166666666666666,37.61194029850746,33.5,1260
465.15,9.183333333333334,32.65306122,24.5,800
465.15,9.2,18.181818181818183,11,200
465.15,9.216666666666667,33.54838709677419,31,1040
465.15,9.233333333333333,20.689655172413797,58,1200
465.15,9.25,22.11838006230529,64.2,1420
465.15,9.266666666666667,21.037463976945244,69.4,1460
465.15,9.283333333333333,24.620060790273556,65.8,1620
465.15,9.3,27.868852459016395,61,1700
465.15,9.316666666666666,27.134146341463413,65.6,1780
465.15,9.333333333333334,20.079260237780712,75.7,1520
465.15,9.35,17.314095449500552,90.1,1560
465.15,9.366666666666667,15.916230366492147,95.5,1520
465.15,9.383333333333333,18.16283924843424,95.8,1740
465.15,9.4,18.655097613882862,92.2,1720
465.15,9.416666666666666,20.49469964664311,84.9,1740
465.15,9.433333333333334,10.81593927893738,105.4,1140
465.15,9.45,9.841534612176813,119.9,1180
465.15,9.466666666666667,12.408759124087592,109.6,1360
465.15,9.483333333333333,9.870129870129869,115.5,1140
465.15,9.5,5.8690744920993225,132.9,780
465.15,9.516666666666667,10.666666666666666,105,1120
465.15,9.533333333333333,7.6190476190476195,105,800
465.15,9.55,7.751937984496124,103.2,800
465.15,9.566666666666666,16.43835616438356,65.7,1080
465.15,9.583333333333334,22.32779097387173,42.1,940
465.15,9.6,27.272727272727273,13.2,360
465.15,9.616666666666667,57.14285714285714,7,400
465.15,9.633333333333333,38.96103896103896,7.7,300
465.15,9.65,42.27642276422764,12.3,520
465.15,9.666666666666666,41.81818181818182,11,460
465.15,9.683333333333334,46.153846153846146,9.1,420
465.15,9.7,27.127659574468087,37.6,1020
465.15,9.716666666666667,22.687609075043632,57.3,1300
465.15,9.733333333333333,23.488773747841105,57.9,1360
465.15,9.75,22.08201893,63.4,1400
465.15,9.766666666666667,24.534161490683232,64.4,1580
465.15,9.783333333333333,23.38830584707646,66.7,1560
465.15,9.8,19.54314720812183,78.8,1540
465.15,9.816666666666666,15.67398119122257,95.7,1500
465.15,9.833333333333334,14.201183431952662,101.4,1440
465.15,9.85,16.959064327485386,102.6,1740
465.15,9.866666666666667,19.279661016949152,94.4,1820
465.15,9.883333333333333,17.37242128121607,92.1,1600
465.15,9.9,11.641067097817302,123.7,1440
465.15,9.916666666666666,3.8291605301914577,135.8,520
465.15,9.933333333333334,9.863945578231293,117.6,1160
465.15,9.95,7.522485690923957,122.3,920
465.15,9.966666666666667,13.002566295979467,116.9,1520
465.15,9.983333333333333,8.051529790660226,124.2,1000
465.15,10,8.841463414634148,131.2,1160
465.15,10.016666666666667,6.3191153238546605,126.6,800
465.15,10.033333333333333,7.798165137614678,130.8,1020
465.15,10.05,6.456692913385828,127,820
465.15,10.066666666666666,7.0175438596491215,125.4,880
465.15,10.083333333333334,7.6809453471196445,135.4,1040
465.15,10.1,9.014514896867835,130.9,1180
465.15,10.116666666666667,8.389513108614231,133.5,1120
465.15,10.133333333333333,11.214953271028037,128.4,1440
465.15,10.15,8.175624527,132.1,1080
465.15,10.166666666666666,5.760709010339733,135.4,780
465.15,10.183333333333334,6.065088757,135.2,820
465.15,10.2,8.895949166004765,125.9,1120
465.15,10.216666666666667,7.455429497568883,123.4,920
465.15,10.233333333333333,8.283132530120481,132.8,1100
465.15,10.25,6.6314996232102486,132.7,880
465.15,10.266666666666667,10.666666666666666,120,1280
465.15,10.283333333333333,11.914217633042094,125.9,1500
465.15,10.3,10.458567980691877,124.3,1300
465.15,10.316666666666666,8.818897637795276,127,1120
465.15,10.333333333333334,7.148175725986596,134.3,960
465.15,10.35,11.947626841243864,122.2,1460
465.15,10.366666666666667,6.222222222222222,135,840
465.15,10.383333333333333,6.965174129353233,140.7,980
465.15,10.4,12.063492063492065,126,1520
465.15,10.416666666666666,7.855459544383348,127.3,1000
465.15,10.433333333333334,7.665505226480835,143.5,1100
465.15,10.45,7.980845969672785,125.3,1000
465.15,10.466666666666667,11.662726556343575,126.9,1480
465.15,10.483333333333333,6.921944035346098,135.8,940
465.15,10.5,10,128,1280
465.15,10.516666666666667,8.675078864353312,126.8,1100
465.15,10.533333333333333,13.799126637554586,114.5,1580
465.15,10.55,6.507592190889372,138.3,900
465.15,10.566666666666666,6.0992907801418434,141,860
465.15,10.583333333333334,9.569377990430624,125.4,1200
465.15,10.6,16.47940074906367,106.8,1760
465.15,10.616666666666667,6.525037936267071,131.8,860
465.15,10.633333333333333,4.5321637426900585,136.8,620
465.15,10.65,10.576923076923077,124.8,1320
465.15,10.666666666666666,6.420765027322403,146.4,940
465.15,10.683333333333334,7.623682076236822,123.3,940
465.15,10.7,7.7049180327868845,122,940
465.15,10.716666666666667,7.594936708860758,126.4,960
465.15,10.733333333333333,8.28125,128,1060
465.15,10.75,9.478672986,126.6,1200
465.15,10.766666666666667,11.817367949865712,111.7,1320
465.15,10.783333333333333,8.653061224489797,122.5,1060
465.15,10.8,9.799196787148594,124.5,1220
465.15,10.816666666666666,8.526551982049366,133.7,1140
465.15,10.833333333333334,8.208366219415943,126.7,1040
465.15,10.85,14.531548757170171,104.6,1520
465.15,10.866666666666667,8.529155787641427,114.9,980
465.15,10.883333333333333,5.618830675778285,131.7,740
465.15,10.9,9.677419354838712,117.8,1140
465.15,10.916666666666666,7.868852459016392,122,960
465.15,10.933333333333334,7.552870090634442,132.4,1000
465.15,10.95,8.688524590163935,122,1060
465.15,10.966666666666667,6.962025316455697,126.4,880
465.15,10.983333333333333,6.830818109610803,125.9,860
465.15,11,12.255319148936168,117.5,1440
465.15,11.016666666666667,5.538922155688623,133.6,740
465.15,11.033333333333333,7.817589576547232,122.8,960
465.15,11.05,8.319738989,122.6,1020
465.15,11.066666666666666,15.17509727626459,102.8,1560
465.15,11.083333333333334,7.912457912457912,118.8,940
465.15,11.1,7.936507936507937,113.4,900
465.15,11.116666666666667,10.79258010118044,118.6,1280
465.15,11.133333333333333,5.731080088170462,136.1,780
465.15,11.15,8.013082583810304,122.3,980
465.15,11.166666666666666,9.863945578231293,117.6,1160
465.15,11.183333333333334,8.888888888888891,121.5,1080
465.15,11.2,10.229276895943563,113.4,1160
465.15,11.216666666666667,5.076142131979696,137.9,700
465.15,11.233333333333333,14.348981399468556,112.9,1620
465.15,11.25,7.1827613727055075,125.3,900
465.15,11.266666666666667,8.398133748055987,128.6,1080
465.15,11.283333333333333,4.580152671755725,131,600
465.15,11.3,7.930214115781126,126.1,1000
465.15,11.316666666666666,8.794788273615637,122.8,1080
465.15,11.333333333333334,9.805447471,128.5,1260
465.15,11.35,10.95435684647303,120.5,1320
465.15,11.366666666666667,5.899705014749262,135.6,800
465.15,11.383333333333333,10.365335598980456,117.7,1220
465.15,11.4,9.340659341,109.2,1020
465.15,11.416666666666666,9.844134536505331,121.9,1200
465.15,11.433333333333334,8.380338437,124.1,1040
465.15,11.45,8.136696501220504,122.9,1000
465.15,11.466666666666667,8.48,125,1060
465.15,11.483333333333333,9.141055949566589,126.9,1160
465.15,11.5,12.023708721422524,118.1,1420
465.15,11.516666666666667,6.7164179104477615,134,900
465.15,11.533333333333333,7.413127413127412,129.5,960
465.15,11.55,7.915993537964458,123.8,980
465.15,11.566666666666666,10.32472939217319,120.1,1240
465.15,11.583333333333334,7.008964955175223,122.7,860
465.15,11.6,6.7381316998468614,130.6,880
465.15,11.616666666666667,7.34375,128,940
465.15,11.633333333333333,12.5,115.2,1440
465.15,11.65,8.965517241379311,116,1040
465.15,11.666666666666666,6.688963211,119.6,800
465.15,11.683333333333334,10.161290322580646,124,1260
465.15,11.7,7.923930269413629,126.2,1000
465.15,11.716666666666667,11.501597444089455,125.2,1440
465.15,11.733333333333333,10.958904109589042,124.1,1360
465.15,11.75,9.165302782324057,122.2,1120
465.15,11.766666666666667,8.221343873517787,126.5,1040
465.15,11.783333333333333,8.026755853,119.6,960
465.15,11.8,8.507347254447021,129.3,1100
465.15,11.816666666666666,9.097918273,129.7,1180
465.15,11.833333333333334,6.830818109610803,125.9,860
465.15,11.85,8.585055643879173,125.8,1080
465.15,11.866666666666667,11.447811447811446,118.8,1360
465.15,11.883333333333333,16.87929342,101.9,1720
465.15,11.9,5.546995377503852,129.8,720
465.15,11.916666666666666,8.110300081102999,123.3,1000
465.15,11.933333333333334,6.362153344208809,122.6,780
465.15,11.95,6.7164179104477615,134,900
465.15,11.966666666666667,7.4650077760497675,128.6,960
465.15,11.983333333333333,6.521739130434782,138,900
465.15,12,8.353413654618475,124.5,1040
466.65,6,18.916437098255283,108.9,2060
466.65,6.016666666666667,11.658456486042693,121.8,1420
466.65,6.033333333333333,13.52019786,121.3,1640
466.65,6.05,15.878679750223016,112.1,1780
466.65,6.066666666666666,13.100436681222705,114.5,1500
466.65,6.083333333333333,16.083254493850518,105.7,1700
466.65,6.1,17.523809523809526,105,1840
466.65,6.116666666666666,14.285714285714285,106.4,1520
466.65,6.133333333333334,18.853255587949466,102.9,1940
466.65,6.15,14.729370008873111,112.7,1660
466.65,6.166666666666667,17.684594348222426,109.7,1940
466.65,6.183333333333334,15.187557182067705,109.3,1660
466.65,6.2,17.11627906976744,107.5,1840
466.65,6.216666666666667,14.311270125223613,111.8,1600
466.65,6.233333333333333,20.498084291187734,104.4,2140
466.65,6.25,9.143807149,120.3,1100
466.65,6.266666666666667,15.977443609022556,106.4,1700
466.65,6.283333333333333,16.757741347905284,109.8,1840
466.65,6.3,12.532637075718016,114.9,1440
466.65,6.316666666666666,19.803921568627448,102,2020
466.65,6.333333333333333,16.14100185528757,107.8,1740
466.65,6.35,15.549597855227884,111.9,1740
466.65,6.366666666666666,10.05867560771165,119.3,1200
466.65,6.383333333333334,20.39134912,97.1,1980
466.65,6.4,19.64472309299895,95.7,1880
466.65,6.416666666666667,12.354521038495973,111.7,1380
466.65,6.433333333333334,17.049808429118773,104.4,1780
466.65,6.45,15.689981096408316,105.8,1660
466.65,6.466666666666667,16.100872938894273,103.1,1660
466.65,6.483333333333333,12.535612535612536,105.3,1320
466.65,6.5,18.344965104685947,100.3,1840
466.65,6.516666666666667,15.639374425022998,108.7,1700
466.65,6.533333333333333,15.296367112810707,104.6,1600
466.65,6.55,16.44859813084112,107,1760
466.65,6.566666666666666,17.578125,102.4,1800
466.65,6.583333333333333,11.837455830388693,113.2,1340
466.65,6.6,15.168539325842698,106.8,1620
466.65,6.616666666666666,18.285714285714285,105,1920
466.65,6.633333333333334,17.97979797979798,99,1780
466.65,6.65,12.398921832884096,111.3,1380
466.65,6.666666666666667,14.126394052044608,107.6,1520
466.65,6.683333333333334,16.84836471754212,100.9,1700
466.65,6.7,15.297450424929178,105.9,1620
466.65,6.716666666666667,7.849829351535837,117.2,920
466.65,6.733333333333333,15.976900866217516,103.9,1660
466.65,6.75,20.932642487046632,96.5,2020
466.65,6.766666666666667,16.781836130306026,101.3,1700
466.65,6.783333333333333,18.11023622047244,101.6,1840
466.65,6.8,12.324929971988794,107.1,1320
466.65,6.816666666666666,15.566502463054187,101.5,1580
466.65,6.833333333333333,17.618586640851888,103.3,1820
466.65,6.85,16.831683168316832,101,1700
466.65,6.866666666666666,17.641597028783654,107.7,1900
466.65,6.883333333333334,16.604477611940297,107.2,1780
466.65,6.9,12.86863271,111.9,1440
466.65,6.916666666666667,15.659068384539149,100.9,1580
466.65,6.933333333333334,12.707182320441987,108.6,1380
466.65,6.95,20.600858369098717,93.2,1920
466.65,6.966666666666667,14.04140414041404,111.1,1560
466.65,6.983333333333333,12.186379928315413,111.6,1360
466.65,7,15.187557182067705,109.3,1660
466.65,7.016666666666667,12.897366030881019,110.1,1420
466.65,7.033333333333333,14.611005692599619,105.4,1540
466.65,7.05,10.79646017699115,113,1220
466.65,7.066666666666666,17.345872518286313,95.7,1660
466.65,7.083333333333333,16.50793650793651,94.5,1560
466.65,7.1,11.51219512195122,102.5,1180
466.65,7.116666666666666,18.283166109253067,89.7,1640
466.65,7.133333333333334,16.108786610878663,95.6,1540
466.65,7.15,14.922480620155039,103.2,1540
466.65,7.166666666666667,13.395348837209307,107.5,1440
466.65,7.183333333333334,14.585414585414586,100.1,1460
466.65,7.2,16.600790513833992,101.2,1680
466.65,7.216666666666667,13.740458015267176,104.8,1440
466.65,7.233333333333333,8.286252354048964,106.2,880
466.65,7.25,17.861080485115767,90.7,1620
466.65,7.266666666666667,14.88277268093782,98.1,1460
466.65,7.283333333333333,13.30685203574975,100.7,1340
466.65,7.3,19.80830670926517,93.9,1860
466.65,7.316666666666666,20.809248554913296,86.5,1800
466.65,7.333333333333333,17.753120665742028,72.1,1280
466.65,7.35,24.070796460176986,56.5,1360
466.65,7.366666666666666,37.61467889908257,21.8,820
466.65,7.383333333333334,47.45762711864407,23.6,1120
466.65,7.4,30.90909090909091,44,1360
466.65,7.416666666666667,33.402061855670105,48.5,1620
466.65,7.433333333333334,21.42857142857143,58.8,1260
466.65,7.45,28.27442827442827,48.1,1360
466.65,7.466666666666667,39.27648578811369,38.7,1520
466.65,7.483333333333333,38.18615751789977,41.9,1600
466.65,7.5,31.435079726651484,43.9,1380
466.65,7.516666666666667,33.053221288515395,35.7,1180
466.65,7.533333333333333,41.82509505703422,26.3,1100
466.65,7.55,52.80898876404493,17.8,940
466.65,7.566666666666666,46.56084656084657,18.9,880
466.65,7.583333333333333,47.82608695652174,13.8,660
466.65,7.6,59.047619047619044,10.5,620
466.65,7.616666666666666,42.446043165467614,27.8,1180
466.65,7.633333333333334,29.508196721311478,42.7,1260
466.65,7.65,24.264705882352942,54.4,1320
466.65,7.666666666666667,25.72614107883817,48.2,1240
466.65,7.683333333333334,32.89124668435013,37.7,1240
466.65,7.7,30.188679245283016,42.4,1280
466.65,7.716666666666667,30.4,50,1520
466.65,7.733333333333333,24.074074074074073,54,1300
466.65,7.75,25.278810408921927,53.8,1360
466.65,7.766666666666667,24.89626556016597,48.2,1200
466.65,7.783333333333333,35.422343324250676,36.7,1300
466.65,7.8,37.97468354430379,31.6,1200
466.65,7.816666666666666,40,18,720
466.65,7.833333333333333,42.46575342465753,14.6,620
466.65,7.85,39.25233644859813,10.7,420
466.65,7.866666666666666,48.57142857142857,14,680
466.65,7.883333333333334,41.379310344827594,23.2,960
466.65,7.9,24.95344506517691,53.7,1340
466.65,7.916666666666667,18.523878437047763,69.1,1280
466.65,7.933333333333334,21.081081081081077,74,1560
466.65,7.95,22.58064516129032,68.2,1540
466.65,7.966666666666667,22.045152722443557,75.3,1660
466.65,7.983333333333333,17.75,80,1420
466.65,8,16.779431664411366,73.9,1240
466.65,8.016666666666667,18.074074074074076,67.5,1220
466.65,8.033333333333333,18.60465116,64.5,1200
466.65,8.05,23.842917251051887,71.3,1700
466.65,8.066666666666666,19.624819624819626,69.3,1360
466.65,8.083333333333334,20.50359712230216,55.6,1140
466.65,8.1,33.734939759036145,33.2,1120
466.65,8.116666666666667,46.42857142857143,11.2,520
466.65,8.133333333333333,51.282051282051285,7.8,400
466.65,8.15,42.911877394636015,26.1,1120
466.65,8.166666666666666,26.813186813186807,45.5,1220
466.65,8.183333333333334,25.98684210526316,60.8,1580
466.65,8.2,15.969581749049427,78.9,1260
466.65,8.216666666666667,21.517241379310345,72.5,1560
466.65,8.233333333333333,22.222222222222218,64.8,1440
466.65,8.25,21.74688057040998,56.1,1220
466.65,8.266666666666667,24.91228070175439,57,1420
466.65,8.283333333333333,21.73274596182085,68.1,1480
466.65,8.3,19.010416666666668,76.8,1460
466.65,8.316666666666666,22.11981566820277,65.1,1440
466.65,8.333333333333334,25.08833922261484,56.6,1420
466.65,8.35,21.362229102167184,64.6,1380
466.65,8.366666666666667,25.337837837837835,59.2,1500
466.65,8.383333333333333,26.890756302521005,35.7,960
466.65,8.4,42.60355029585799,16.9,720
466.65,8.416666666666666,38.75,16,620
466.65,8.433333333333334,31.549295774647888,35.5,1120
466.65,8.45,21.122112211221122,60.6,1280
466.65,8.466666666666667,17.977528089887635,71.2,1280
466.65,8.483333333333333,22.18649517684887,62.2,1380
466.65,8.5,27.974947807933198,47.9,1340
466.65,8.516666666666667,33.942558746736296,38.3,1300
466.65,8.533333333333333,26.20423892100193,51.9,1360
466.65,8.55,20.56631892697467,67.1,1380
466.65,8.566666666666666,16.709511568123393,77.8,1300
466.65,8.583333333333334,21.528861154446176,64.1,1380
466.65,8.6,25.72614107883817,48.2,1240
466.65,8.616666666666667,31.347962382445143,31.9,1000
466.65,8.633333333333333,37.5,30.4,1140
466.65,8.65,24.778761061946906,56.5,1400
466.65,8.666666666666666,28.47682119205298,60.4,1720
466.65,8.683333333333334,23.496503496503497,71.5,1680
466.65,8.7,24.104234527687296,61.4,1480
466.65,8.716666666666667,29.864253393665155,44.2,1320
466.65,8.733333333333333,39.145907473309606,28.1,1100
466.65,8.75,37.5,27.2,1020
466.65,8.766666666666667,29.767441860465123,43,1280
466.65,8.783333333333333,30.315789473684212,47.5,1440
466.65,8.8,27.96116504854369,51.5,1440
466.65,8.816666666666666,26.365348399246702,53.1,1400
466.65,8.833333333333334,23.62728785357737,60.1,1420
466.65,8.85,23.817292006525282,61.3,1460
466.65,8.866666666666667,29.30693069306931,50.5,1480
466.65,8.883333333333333,33.61344537815125,35.7,1200
466.65,8.9,42.04851752021563,37.1,1560
466.65,8.916666666666666,35.555555555555564,45,1600
466.65,8.933333333333334,27.78947368421053,47.5,1320
466.65,8.95,31.602708803611737,44.3,1400
466.65,8.966666666666667,40.42553191489362,37.6,1520
466.65,8.983333333333333,36.5,40,1460
466.65,9,32.11991434689507,46.7,1500
466.65,9.016666666666667,35.4679803,40.6,1440
466.65,9.033333333333333,25,53.6,1340
466.65,9.05,31.51750972762646,51.4,1620
466.65,9.066666666666666,26.79245283018868,53,1420
466.65,9.083333333333334,32.35294117647059,40.8,1320
466.65,9.1,43.715846994535525,18.3,800
466.65,9.116666666666667,32.30769230769231,39,1260
466.65,9.133333333333333,23.01458670988655,61.7,1420
466.65,9.15,15.25,80,1220
466.65,9.166666666666666,17.12962962962963,86.4,1480
466.65,9.183333333333334,15.560640732265446,87.4,1360
466.65,9.2,20.256410256410252,78,1580
466.65,9.216666666666667,17.878426698450536,83.9,1500
466.65,9.233333333333333,17.257683215130026,84.6,1460
